"Parameter","df_robust","p_robust","F","df_std","p"
"lh_bankssts_thickness",2.87525218627339,0,17.4775985806419,2.87525218627339,0
"lh_caudalanteriorcingulate_thickness",2.56182123086108,0,175.425252360445,2.56182123086108,0
"lh_caudalmiddlefrontal_thickness",2.53386053717763,0,38.1548126582271,2.53386053717763,0
"lh_cuneus_thickness",2.79594450402166,-8.0000347013609e-08,12.1690566711171,2.79594450402166,-8.0000347013609e-08
"lh_entorhinal_thickness",2.91617087799627,0,22.5145335299408,2.91617087799627,0
"lh_fusiform_thickness",2.40881364547603,0.000187387824635121,6.80971884077828,2.40881364547603,0.000187387824635121
"lh_inferiorparietal_thickness",2.68566582082229,0.00265205122828449,4.38628019858108,2.68566582082229,0.00265205122828449
"lh_inferiortemporal_thickness",2.53823506986853,0,63.7046432283186,2.53823506986853,0
"lh_isthmuscingulate_thickness",1.89791910947297,0,28.0251395911768,1.89791910947297,0
"lh_lateraloccipital_thickness",2.76195309262035,0,43.8468650030016,2.76195309262035,0
"lh_lateralorbitofrontal_thickness",2.67269667462688,-9.54232315386605e-08,12.212642370057,2.67269667462688,-9.54232315386605e-08
"lh_lingual_thickness",2.96290702674628,0,58.0349176467305,2.96290702674628,0
"lh_medialorbitofrontal_thickness",2.48961472924541,0.00449051060029337,5.56073320086823,2.48961472924541,0.00449051060029337
"lh_middletemporal_thickness",2.88366132213783,0,39.1313673651955,2.88366132213783,0
"lh_parahippocampal_thickness",2.78785750866822,0,64.946239287731,2.78785750866822,0
"lh_paracentral_thickness",2.94340393435455,0,29.0538180192996,2.94340393435455,0
"lh_parsopercularis_thickness",2.74258131073019,0,16.1998758706853,2.74258131073019,0
"lh_parsorbitalis_thickness",1.00000079060997,0.00168999941383535,9.85982432923871,1.00000079060997,0.00168999941383535
"lh_parstriangularis_thickness",2.94095529231042,0,60.0173415730834,2.94095529231042,0
"lh_pericalcarine_thickness",2.71398951148613,0,115.039003910529,2.71398951148613,0
"lh_postcentral_thickness",2.85291117302016,0,15.1653887812072,2.85291117302016,0
"lh_posteriorcingulate_thickness",2.99999772282357,0,44.3862193217247,2.99999772282357,0
"lh_precentral_thickness",2.84296736124338,0,145.957779965223,2.84296736124338,0
"lh_precuneus_thickness",2.79376624061525,0.00558779291680767,4.63052030601235,2.79376624061525,0.00558779291680767
"lh_rostralanteriorcingulate_thickness",2.94023130961431,0,70.7309409293703,2.94023130961431,0
"lh_rostralmiddlefrontal_thickness",3.00000000000006,1.43020246801129e-06,10.5147000805095,3.00000000000006,1.43020246801129e-06
"lh_superiorfrontal_thickness",2.67716789309589,0,52.4878008640717,2.67716789309589,0
"lh_superiorparietal_thickness",1.0000003481426,0.967949502705248,0.00161479970048804,1.0000003481426,0.967949502705248
"lh_superiortemporal_thickness",2.48893002896086,0,43.089658099092,2.48893002896086,0
"lh_supramarginal_thickness",2.49941459615423,5.32332002473046e-06,9.88802448261072,2.49941459615423,5.32332002473046e-06
"lh_frontalpole_thickness",2.79995042802327,0,30.8100808595937,2.79995042802327,0
"lh_temporalpole_thickness",2.50371809651968,4.84377451370754e-07,11.3040986291636,2.50371809651968,4.84377451370754e-07
"lh_transversetemporal_thickness",2.78849290480543,0.000178557113490241,6.30335429695859,2.78849290480543,0.000178557113490241
"lh_insula_thickness",2.83658463942877,0,14.8743244289477,2.83658463942877,0
"lh_bankssts_volume",1.61986080586252,0.455315551520322,0.862969894928191,1.61986080586252,0.455315551520322
"lh_caudalanteriorcingulate_volume",2.51984927297078,0,128.48602259539,2.51984927297078,0
"lh_caudalmiddlefrontal_volume",2.8667701320544,0,26.475075411308,2.8667701320544,0
"lh_cuneus_volume",1.00000050073273,6.51121922937148e-05,15.9563646175405,1.00000050073273,6.51121922937148e-05
"lh_entorhinal_volume",2.54132086045108,0,50.6704549482488,2.54132086045108,0
"lh_fusiform_volume",2.79039482280923,0,33.4517220855883,2.79039482280923,0
"lh_inferiorparietal_volume",1.00000079899778,2.60240651643873e-05,17.6849182816862,1.00000079899778,2.60240651643873e-05
"lh_inferiortemporal_volume",2.98131452965254,0,126.724671521236,2.98131452965254,0
"lh_isthmuscingulate_volume",1.83853606319707,0,24.1717907670351,1.83853606319707,0
"lh_lateraloccipital_volume",2.903194484203,0,133.499202721034,2.903194484203,0
"lh_lateralorbitofrontal_volume",2.9999999999998,2.10831225112925e-11,17.5796406817731,2.9999999999998,2.10831225112925e-11
"lh_lingual_volume",2.76195998313567,0,28.7183761335072,2.76195998313567,0
"lh_medialorbitofrontal_volume",2.8412283972643,0,18.4346609990038,2.8412283972643,0
"lh_middletemporal_volume",2.8639164376676,0,39.0269785740888,2.8639164376676,0
"lh_parahippocampal_volume",2.66031000411922,0,46.3914314020426,2.66031000411922,0
"lh_paracentral_volume",2.73960637917918,0.000449247996848423,8.2048663663811,2.73960637917918,0.000449247996848423
"lh_parsopercularis_volume",2.99995147405971,0,24.6239570684597,2.99995147405971,0
"lh_parsorbitalis_volume",2.97108375944211,0,44.2334864758882,2.97108375944211,0
"lh_parstriangularis_volume",2.96798218085414,0,33.0890098231935,2.96798218085414,0
"lh_pericalcarine_volume",2.86505235900505,0,58.1650136610661,2.86505235900505,0
"lh_postcentral_volume",2.89586583186098,3.32426229920912e-06,9.1870664369494,2.89586583186098,3.32426229920912e-06
"lh_posteriorcingulate_volume",2.20837280483301,0,27.9424328240332,2.20837280483301,0
"lh_precentral_volume",2.88012809717874,0,116.168285952631,2.88012809717874,0
"lh_precuneus_volume",1.00000057941055,0.058069729347375,3.59181122406228,1.00000057941055,0.058069729347375
"lh_rostralanteriorcingulate_volume",2.2725396916725,0,18.188582461208,2.2725396916725,0
"lh_rostralmiddlefrontal_volume",2.95237379090604,0,45.9834116342447,2.95237379090604,0
"lh_superiorfrontal_volume",2.99825920255804,0,36.3430336553019,2.99825920255804,0
"lh_superiorparietal_volume",2.64047984598297,0,13.9448230163503,2.64047984598297,0
"lh_superiortemporal_volume",2.95036085296002,0,24.871169554992,2.95036085296002,0
